Date : 2022-10-25 20:17:21
Directory : e:\ProjectCODE\PPLabs\LabCPX
Total : 62 files,  2996 codes, 117 comments, 616 blanks, all 3729 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |         55 |      2,775 |        113 |        603 |      3,491 |
| XML      |          7 |        221 |          4 |         13 |        238 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |         62 |      2,996 |        117 |        616 |      3,729 |
| src                                                                                                  |         61 |      2,871 |        113 |        609 |      3,593 |
| src\main                                                                                             |         61 |      2,871 |        113 |        609 |      3,593 |
| src\main\java                                                                                        |         55 |      2,775 |        113 |        603 |      3,491 |
| src\main\java\com                                                                                    |         55 |      2,775 |        113 |        603 |      3,491 |
| src\main\java\com\labs                                                                               |         55 |      2,775 |        113 |        603 |      3,491 |
| src\main\java\com\labs\UI                                                                            |          4 |        566 |          8 |         87 |        661 |
| src\main\java\com\labs\UIAPI                                                                         |         18 |        508 |          0 |        144 |        652 |
| src\main\java\com\labs\UIAPI\command                                                                 |         14 |        470 |          0 |        132 |        602 |
| src\main\java\com\labs\UIAPI\command\constant                                                        |          1 |         30 |          0 |          9 |         39 |
| src\main\java\com\labs\UIAPI\command\create                                                          |          3 |         98 |          0 |         28 |        126 |
| src\main\java\com\labs\UIAPI\command\identity                                                        |          3 |         87 |          0 |         23 |        110 |
| src\main\java\com\labs\UIAPI\command\remove                                                          |          1 |         28 |          0 |          9 |         37 |
| src\main\java\com\labs\UIAPI\command\select                                                          |          5 |        197 |          0 |         53 |        250 |
| src\main\java\com\labs\UIAPI\command\update                                                          |          1 |         30 |          0 |         10 |         40 |
| src\main\java\com\labs\UI\impl                                                                       |          3 |        561 |          8 |         85 |        654 |
| src\main\java\com\labs\UI\impl\СonsoleUI                                                             |          3 |        561 |          8 |         85 |        654 |
