Date : 2022-10-26 20:11:21
Directory : e:\ProjectCODE\PPLabs
Total : 128 files,  31398 codes, 8523 comments, 6868 blanks, all 46789 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         15 |     22,956 |      7,575 |      5,938 |     36,469 |
| Java       |         83 |      4,060 |        150 |        841 |      5,051 |
| HTML       |         16 |      2,522 |        652 |         16 |      3,190 |
| CSS        |          5 |      1,478 |        134 |         47 |      1,659 |
| XML        |          9 |        382 |         12 |         26 |        420 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |        128 |     31,398 |      8,523 |      6,868 |     46,789 |
| Lab1                                                                                                    |         41 |     27,032 |      8,367 |      6,017 |     41,416 |
| Lab1\doc                                                                                                |         36 |     26,956 |      8,361 |      6,001 |     41,318 |
| Lab1\doc\jquery                                                                                         |         14 |     23,184 |      7,592 |      5,965 |     36,741 |
| Lab1\doc\jquery\external                                                                                |          1 |      6,906 |      1,890 |      2,077 |     10,873 |
| Lab1\doc\jquery\external\jquery                                                                         |          1 |      6,906 |      1,890 |      2,077 |     10,873 |
| Lab1\doc\jquery\jszip                                                                                   |          2 |      6,672 |      3,381 |      1,327 |     11,380 |
| Lab1\doc\jquery\jszip-utils                                                                             |          4 |         97 |         75 |         26 |        198 |
| Lab1\doc\jquery\jszip-utils\dist                                                                        |          4 |         97 |         75 |         26 |        198 |
| Lab1\doc\jquery\jszip\dist                                                                              |          2 |      6,672 |      3,381 |      1,327 |     11,380 |
| Lab1\src                                                                                                |          5 |         76 |          6 |         16 |         98 |
| Lab2                                                                                                    |          4 |        287 |         22 |         36 |        345 |
| Lab2\src                                                                                                |          3 |        214 |         18 |         29 |        261 |
| Lab2\src\main                                                                                           |          3 |        214 |         18 |         29 |        261 |
| Lab2\src\main\java                                                                                      |          3 |        214 |         18 |         29 |        261 |
| Lab2\src\main\java\com                                                                                  |          3 |        214 |         18 |         29 |        261 |
| Lab2\src\main\java\com\labs                                                                             |          3 |        214 |         18 |         29 |        261 |
| Lab2\src\main\java\com\labs\main                                                                        |          1 |         64 |          0 |          9 |         73 |
| Lab2\src\main\java\com\labs\student                                                                     |          2 |        150 |         18 |         20 |        188 |
| Lab3                                                                                                    |         20 |        900 |         16 |        163 |      1,079 |
| Lab3\src                                                                                                |         19 |        812 |         12 |        157 |        981 |
| Lab3\src\main                                                                                           |         19 |        812 |         12 |        157 |        981 |
| Lab3\src\main\java                                                                                      |         19 |        812 |         12 |        157 |        981 |
| Lab3\src\main\java\com                                                                                  |         19 |        812 |         12 |        157 |        981 |
| Lab3\src\main\java\com\labs                                                                             |         19 |        812 |         12 |        157 |        981 |
| Lab3\src\main\java\com\labs\Droid                                                                       |          5 |        170 |          0 |         37 |        207 |
| Lab3\src\main\java\com\labs\Game                                                                        |          7 |        408 |          3 |         66 |        477 |
| Lab3\src\main\java\com\labs\Game\Logger                                                                 |          4 |         69 |          1 |         15 |         85 |
| Lab3\src\main\java\com\labs\IO                                                                          |          6 |        225 |          5 |         53 |        283 |
| LabCPX                                                                                                  |         63 |      3,179 |        118 |        652 |      3,949 |
| LabCPX\src                                                                                              |         62 |      3,054 |        114 |        645 |      3,813 |
| LabCPX\src\main                                                                                         |         62 |      3,054 |        114 |        645 |      3,813 |
| LabCPX\src\main\java                                                                                    |         56 |      2,958 |        114 |        639 |      3,711 |
| LabCPX\src\main\java\com                                                                                |         56 |      2,958 |        114 |        639 |      3,711 |
| LabCPX\src\main\java\com\labs                                                                           |         56 |      2,958 |        114 |        639 |      3,711 |
| LabCPX\src\main\java\com\labs\UI                                                                        |          4 |        576 |          9 |         90 |        675 |
| LabCPX\src\main\java\com\labs\UIAPI                                                                     |         19 |        536 |          0 |        154 |        690 |
| LabCPX\src\main\java\com\labs\UIAPI\command                                                             |         15 |        498 |          0 |        142 |        640 |
| LabCPX\src\main\java\com\labs\UIAPI\command\constant                                                    |          1 |         30 |          0 |          9 |         39 |
| LabCPX\src\main\java\com\labs\UIAPI\command\create                                                      |          3 |         98 |          0 |         28 |        126 |
| LabCPX\src\main\java\com\labs\UIAPI\command\identity                                                    |          3 |         87 |          0 |         23 |        110 |
| LabCPX\src\main\java\com\labs\UIAPI\command\remove                                                      |          1 |         28 |          0 |          9 |         37 |
| LabCPX\src\main\java\com\labs\UIAPI\command\select                                                      |          5 |        197 |          0 |         53 |        250 |
| LabCPX\src\main\java\com\labs\UIAPI\command\update                                                      |          1 |         30 |          0 |         10 |         40 |
| LabCPX\src\main\java\com\labs\UIAPI\command\util                                                        |          1 |         28 |          0 |         10 |         38 |
| LabCPX\src\main\java\com\labs\UI\impl                                                                   |          3 |        571 |          9 |         88 |        668 |
| LabCPX\src\main\java\com\labs\UI\impl\СonsoleUI                                                         |          3 |        571 |          9 |         88 |        668 |
| LabCPX\src\main\java\com\labs\UI\impl\СonsoleUI\Platform                                                |          2 |         53 |          0 |         15 |         68 |
| LabCPX\src\main\java\com\labs\core                                                                      |         32 |      1,834 |        105 |        392 |      2,331 |
| LabCPX\src\main\java\com\labs\core\entity                                                               |          5 |        224 |          0 |         53 |        277 |
| LabCPX\src\main\java\com\labs\core\helper                                                               |          5 |        297 |          0 |         65 |        362 |
| LabCPX\src\main\java\com\labs\core\service                                                              |         22 |      1,313 |        105 |        274 |      1,692 |
| LabCPX\src\main\java\com\labs\core\service\impl                                                         |         10 |      1,156 |         81 |        240 |      1,477 |
| LabCPX\src\main\java\com\labs\core\service\module                                                       |          1 |         29 |          0 |          4 |         33 |
| LabCPX\src\main\resources                                                                               |          6 |         96 |          0 |          6 |        102 |
| LabCPX\src\main\resources\com                                                                           |          5 |         78 |          0 |          5 |         83 |
| LabCPX\src\main\resources\com\labs                                                                      |          5 |         78 |          0 |          5 |         83 |
| LabCPX\src\main\resources\com\labs\core                                                                 |          5 |         78 |          0 |          5 |         83 |
| LabCPX\src\main\resources\com\labs\core\entity                                                          |          5 |         78 |          0 |          5 |         83 |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
